,folder,art_movement,jpeg,image_name,scrape_state
0,train,Arte concreta figurativa,https://www.copia-di-arte.com/kunst/karen_armitage/dianthus_and_scabious.jpg,karen_armitage-dianthus_and_scabious,saved
1,train,Arte concreta figurativa,https://www.copia-di-arte.com/kunst/philippe_flohic/nu8.jpg,philippe_flohic-nude_1,saved
2,train,Classicismo,https://www.copia-di-arte.com/kunst/noartist/m/mary_appears_to_james_the_grea.jpg,nicolas_poussin-mary_appears_to_james_the_great_poussin,saved
3,train,Espressionismo,https://www.copia-di-arte.com/kunst/lovis_corinth/italienierinimgelbenstuhl.jpg,lovis_corinth-untitled_4,saved
4,train,Classicismo,https://www.copia-di-arte.com/kunst/jacob_philipp_hackert/pompejiausgrabungen.jpg,jacob_philipp_hackert-untitled_5,saved
5,validation,Classicismo,https://www.copia-di-arte.com/kunst/pierre_joseph_redoute/rosa_indica_vulgaris_engraved_hi.jpg,pierre_joseph_redoute-rosa_indica_vulgaris_engraved_by_bessi,saved
6,train,Rinascimento,https://www.copia-di-arte.com/kunst/mathias_mathis_gothart_gruenew/isenheimer_altar-2.jpg,mathias_mathis_gothart_grunewaldum-altar_raked_second_show_s,saved
7,train,Romanticismo,https://www.copia-di-arte.com/kunst/joseph_karl_stieler/caroline-graefin-holnstein.jpg,joseph_karl_stieler-caroline_grafin_holnstein,saved
8,train,Classicismo,https://www.copia-di-arte.com/kunst/karl_friedrich_schinkel_691/schloss-am-strom_schinkel.jpg,karl_friedrich_schinkel-schlo_am_strom,saved
9,train,Post-impressionismo,https://www.copia-di-arte.com/kunst/paul_gauguin/badende.jpg,paul_gauguin-bathers,saved
10,validation,Arte concreta figurativa,https://www.copia-di-arte.com/kunst/sophia_elliot/mortlake_brewery_sw14_the_old.jpg,sophia_elliot-mortlake_brewery_sw_the_old_ship_pastel_on_pap,saved
11,train,Arte concreta figurativa,https://www.copia-di-arte.com/kunst/timothy_easton_1/corner_of_the_herb_garden_oil.jpg,timothy_easton-corner_of_the_herb_garden_oil_on_canvas,saved
12,train,Classicismo,https://www.copia-di-arte.com/kunst/pierre_joseph_redoute/Hyacinth.jpg,pierre_joseph_redoute-hyacinth_redoute_7,saved
13,train,Post-impressionismo,https://www.copia-di-arte.com/kunst/pierreauguste_renoir/bouquet_in_a_theatre_box_c1878.jpg,pierreauguste_renoir-bouquet_in_a_theatre_box_8,saved
14,train,Barocco,https://www.copia-di-arte.com/kunst/jacob_jordaens/der_heilige_simon.jpg,jacob_jordaens-der_heilige_simon,saved
15,train,Rinascimento,https://www.copia-di-arte.com/kunst/michelangelo_caravaggio/w31_sketchbook_script_hi.jpg,michelangelo_buonarroti-w_page_from_a_sketchbook_with_script,saved
16,test,Rinascimento,https://www.copia-di-arte.com/kunst/noartist/t/the_cloth_of_veronica__duerer-2.jpg,albrecht_duerer-the_cloth_of_veronica_durer_9,saved
17,train,Rinascimento,https://www.copia-di-arte.com/kunst/albrecht_duerer/mariens_verehrung.jpg,albrecht_duerer-mariens_verehrungum,saved
18,test,Post-impressionismo,https://www.copia-di-arte.com/kunst/paul_gauguin/rupe-rupe.jpg,paul_gauguin-rupe_rupe,saved
19,validation,Espressionismo,https://www.copia-di-arte.com/kunst/paula_modersohn_becker/stillebenrhododendr.jpg,paula_modersohnbecker-rhododendron_still_life,saved
20,test,Romanticismo,https://www.copia-di-arte.com/kunst/joseph_wrightofderby/landscape_sou77498_hi.jpg,joseph_wright_of_derby-landscape,saved
21,train,Impressionismo,https://www.copia-di-arte.com/kunst/claude_monet/monet-caricature-of-jules-husson.jpg,claude_monet-caricature_of_jules_husson_champfleury_cil_&,saved
22,validation,Classicismo,https://www.copia-di-arte.com/kunst/anselm_feuerbach_807/bildnis_roemerin_nanna_hi.jpg,anselm_feuerbach-portrait_of_a_roman_nanna,saved
