,image_link,artists,art_movement,title,jpeg,height,width
0,https://www.copia-di-arte.com/a/pierre-joseph-redoute/periwinkleredout-2.html,Pierre Joseph Redouté(1759  - 1840),Classicismo,Periwinkle / Redouté,https://www.copia-di-arte.com/kunst/noartist/p/periwinkle__redout_1.jpg,480,353
1,https://www.copia-di-arte.com/a/lovis-corinth/study-of-two-male-figures.html,Lovis Corinth(1858  - 1925),Espressionismo,Study of two male figures,https://www.copia-di-arte.com/kunst/lovis_corinth/study_male_figures_xkh159470_hi.jpg,496,360
2,https://www.copia-di-arte.com/a/sir-anthonis-van-dyck/hallow-hieronymus.html,Sir Anthonis van Dyck(1599  - 1641),Barocco,Hallow Hieronymus,https://www.copia-di-arte.com/kunst/sir_anthonis_van_dyck/heilige_hieronymus_hi.jpg,359,400
3,https://www.copia-di-arte.com/a/ernst-ludwig-kirchner/zweibadendeamstrand.html,Ernst Ludwig Kirchner(1880  - 1938),Espressionismo,,https://www.copia-di-arte.com/kunst/ernst_ludwig_kirchner/Zwei-Badende-am-Strand.jpg,480,357
4,https://www.copia-di-arte.com/a/caspar-david-friedrich/kstenlandschabend.html,Caspar David Friedrich(1774  - 1840),Romanticismo,Coastal landscape,https://www.copia-di-arte.com/kunst/caspar_david_friedrich/kuestenlandschabend.jpg,328,480
5,https://www.copia-di-arte.com/a/bonnard-pierre/rosa_akt_in_der_bade.html,Pierre Bonnard(1867  - 1947),Post-impressionismo,Pink Nude in the Bathtub(1924),https://www.copia-di-arte.com/kunst/pierre_bonnard/rosa_akt_in_der_badewanne.jpg,800,656
6,https://www.copia-di-arte.com/a/vincent-van-gogh/the-tavern.html,Vincent van Gogh(1853  - 1890),Impressionismo,The tavern(1886),https://www.copia-di-arte.com/kunst/vincent_van_gogh/vincent_van_gogh_schenke.jpg,372,480
7,https://www.copia-di-arte.com/a/slevogt-max/feierabend-4.html,Max Slevogt(1868  - 1932),Impressionismo,Feierabend(1900/01),https://www.copia-di-arte.com/kunst/max_slevogt/feierabend_von_max_slevogt.jpg.jpg,390,480
8,https://www.copia-di-arte.com/a/peter-paul-rubens/the-birth-of-the-milky-wa.html,Peter Paul Rubens(1577  - 1640),Barocco,The Birth of the Milky Way(1668),https://www.copia-di-arte.com/kunst/peter_paul_rubens/birth_milky_way_hi.jpg,260,360
9,https://www.copia-di-arte.com/a/francisco-jose-de-goya-1/witches-sabbath-end-the-b.html,Francisco Jose de Goya(1746  - 1828),Classicismo,(witches' sabbath end the black pictures of the Quinta del Sordo)(1820-1823),https://www.copia-di-arte.com/kunst/francisco_jose_de_goya/hexensabbat_schwarzen_bildern_hi.jpg,321,640
10,https://www.copia-di-arte.com/a/paul-gauguin/tahitianische-fishing-gro.html,Paul Gauguin(1848  - 1903),Post-impressionismo,Tahitianische fishing grooves(1891),https://www.copia-di-arte.com/kunst/paul_gauguin/tahitianische_fischerinnen_hi.jpg,187,240
11,https://www.copia-di-arte.com/a/francisco-jose-de-goya-1/the-duchess-of-alb.html,Francisco Jose de Goya(1746  - 1828),Classicismo,The duchess of alb.(1795),https://www.copia-di-arte.com/kunst/francisco_jose_de_goya/2775_v1.jpg,480,320
12,https://www.copia-di-arte.com/a/etty-william/allegoricalstudyasketchoi.html,William Etty(1787  - 1849),Classicismo,"Allegorical Study, A Sketch (oil on canvas)(1594)",https://www.copia-di-arte.com/kunst/william_etty/allegorical_study_a_sketch_oil_hi.jpg,320,186
13,https://www.copia-di-arte.com/a/scuola-inglese/thetownofmansoulillustrat.html, Scuola Inglese(18th century ),Arte Vittoriana,"The Town of Mansoul, illustration from ''The Holy War'' John Bunyan",https://www.copia-di-arte.com/kunst/english_school/the_town_of_mansoul_illustrati.jpg,344,440
14,https://www.copia-di-arte.com/a/giovanni-paolo-pannini/peasants-amongst-roman-ru.html,Giovanni Paolo Pannini(1691/92  - 1765),Barocco,Peasants Amongst Roman Ruins(1743),https://www.copia-di-arte.com/kunst/giovanni_paolo_pannini/peasants_amougst.jpg,325,440
15,https://www.copia-di-arte.com/a/egon-schiele/selbstbildnis-2-46.html,Egon Schiele(1890  - 1918),Espressionismo,,https://www.copia-di-arte.com/kunst/egon_schiele/Selbstbildnis-1.jpg,480,341
16,https://www.copia-di-arte.com/a/chardin-jean-baptiste/the-water-container.html,Jean-Baptiste Siméon Chardin(1699  - 1779),Romanticismo,The water container(1734),https://www.copia-di-arte.com/kunst/jean_baptiste_simeon_chardin/wasserbehaelter_hi.jpg,320,252
17,https://www.copia-di-arte.com/a/edgar-degas/beimkmmen-1.html,Edgar Degas(1834  - 1917),Impressionismo,Combing the hair,https://www.copia-di-arte.com/kunst/edgar_degas_641/beimkaemmen-2.jpg,453,480
18,https://www.copia-di-arte.com/a/claude-monet/camille-on-the-beach.html,Claude Monet(1840  - 1926),Impressionismo,Camille on the Beach(1870-71),https://www.copia-di-arte.com/kunst/claude_monet/camille_beach_hi.jpg,708,360
19,https://www.copia-di-arte.com/a/chardin-jean-baptiste/quiet-life-with-an-earthe.html,Jean-Baptiste Siméon Chardin(1699  - 1779),Romanticismo,Quiet life with an earthen bowl,https://www.copia-di-arte.com/kunst/jean_baptiste_simeon_chardin/stillleben_irdener_schuessel_hi.jpg,180,226
20,https://www.copia-di-arte.com/a/scuola-inglese/louis-eustacheude.html, Scuola Inglese(18th century ),Arte Vittoriana,Louis-Eustache Ude,https://www.copia-di-arte.com/kunst/english_school/louis_eustache_ude.jpg,440,366
21,https://www.copia-di-arte.com/a/powis-paul/castlemortonacryliconcard.html,Paul Powis,Arte astratta figurativa,Castlemorton (acrylic on card) ,https://www.copia-di-arte.com/kunst/paul_powis_1/castlemorton_acrylic_on_card.jpg,290,440
22,https://www.copia-di-arte.com/a/seligman/weddingguestoiloncanvas.html,Lincoln  Seligman,Arte concreta figurativa,Wedding Guest (oil on canvas) ,https://www.copia-di-arte.com/kunst/lincoln_seligman/weddingguestoiloncanvas.jpg,480,480
23,https://www.copia-di-arte.com/a/claude-monet/ninfeeconcoloritenui.html,Claude Monet(1840  - 1926),Impressionismo,Ninfee con colori tenui(Um 1917-25),https://www.copia-di-arte.com/kunst/claude_monet/seerosen-in-blassen-farben.jpg,480,492
24,https://www.copia-di-arte.com/a/bonnard-pierre/die_zwei_hackney_cab.html,Pierre Bonnard(1867  - 1947),Post-impressionismo,The Two Hackney Cabs,https://www.copia-di-arte.com/kunst/pierre_bonnard/die_zwei_hackney_cabs.jpg,468,800
25,https://www.copia-di-arte.com/a/easton/beachwalk1994oiloncanvas.html,Timothy  Easton,Arte concreta figurativa,"Beach Walk, 1994 (oil on canvas) ",https://www.copia-di-arte.com/kunst/timothy_easton_1/beach-walk.jpg,480,443
