,image_link,artists,art_movement,title
0,https://www.copia-di-arte.com/a/easton/shadedpotsoiloncanvas.html,Timothy  Easton,Arte concreta figurativa,Shaded Pots (oil on canvas) 
1,https://www.copia-di-arte.com/a/modersohn-becker-paula-1/stehendermdchenakt.html,Paula Modersohn-Becker(1876  - 1907),Espressionismo,
2,https://www.copia-di-arte.com/a/peter-paul-rubens/the-medici-cycle-henri-iv-1.html,Peter Paul Rubens(1577  - 1640),Barocco,The Medici Cycle: Henri IV (1553-1610) leaving for the war in Germany and bestowing the government o(1621-25)
3,https://www.copia-di-arte.com/a/willis-2/girlsweepingii2002oilcanv.html,Tilly  Willis,Arte astratta figurativa,"Girl Sweeping II, 2002 (oil canvas) (see also 188679, 188681) "
4,https://www.copia-di-arte.com/a/chardin-jean-baptiste/still-life-with-pestle-bo.html,Jean-Baptiste Siméon Chardin(1699  - 1779),Romanticismo,"Still life with pestle, bowl, two onions, pan and knife(1734?)"
5,https://www.copia-di-arte.com/a/jean-auguste-ingres/head-of-jupiter-study-for.html,Jean Auguste Dominique Ingres(1780  - 1867),Classicismo,"Head of Jupiter, study for Jupiter and Thetis(1810)"
6,https://www.copia-di-arte.com/a/william-turner/rainsteamandspeedthegreat-1.html,William Turner(1775  - 1851),Romanticismo,"Rain Steam and Speed, The Great Western Railway, painted before 1844"
7,https://www.copia-di-arte.com/a/peter-paul-rubens/bacchanal-3.html,Peter Paul Rubens(1577  - 1640),Barocco,Bacchanal
8,https://www.copia-di-arte.com/a/bonnard-pierre/schminktisch_mit_spi.html,Pierre Bonnard(1867  - 1947),Post-impressionismo,Dressing Table with Mirror
9,https://www.copia-di-arte.com/a/claude-joseph-vernet/marina.html,Claude Joseph Vernet(1714  - 1789),Classicismo,Marina
10,https://www.copia-di-arte.com/a/rembrandt-van-rijn/christ-on-the-cross-detai-1.html,Rembrandt van Rijn(1606  - 1669),Barocco,"Christ on the Cross, detail of the head(detail of)"
11,https://www.copia-di-arte.com/a/jean-auguste-ingres/madamemarie-clotilde-insmoitessiergebdefoucauld.html,Jean Auguste Dominique Ingres(1780  - 1867),Classicismo,"Madame Marie-Clotilde-Inès Moitessier, née de Foucauld(1856)"
12,https://www.copia-di-arte.com/a/seligman/silkknots.html,Lincoln  Seligman,Arte concreta figurativa,Silk Knots
13,https://www.copia-di-arte.com/a/albrecht-durer/albrechtdrerheadofanapost.html,Albrecht Duerer(1471  - 1528),Rinascimento,Albrecht Dürer / Head of an apostle
